               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082876,             0.15024,            0.023288,           0.0041944,            0.035088,          0.00096509,          0.00011626,            0.077545,            0.012864,            0.018861,             0.00096,             0.00096,             0.09136
                   1,            0.056828,            0.015826,            0.017561,           0.0075138,             0.25292,           0.0057364,           0.0014891,            0.049383,            0.010585,             0.01612,           0.0019299,           0.0019299,             0.08263
                   2,             0.04385,            0.012344,            0.016417,             0.12915,             0.17544,             0.11169,            0.038201,            0.044616,           0.0089782,            0.014541,           0.0028994,           0.0028994,            0.073899
                   3,            0.038576,            0.011416,            0.014077,             0.18369,             0.19883,             0.14429,             0.04744,            0.039299,           0.0084223,            0.012462,           0.0038681,           0.0038681,            0.065168
                   4,            0.037004,             0.01058,           0.0083617,             0.20392,             0.40478,             0.22048,            0.090017,             0.03457,           0.0079056,           0.0044169,           0.0048357,           0.0048357,            0.056436
                   5,            0.039428,            0.010002,           0.0050042,             0.24277,              0.3585,             0.22514,            0.077879,            0.033841,           0.0080016,           0.0037124,           0.0058019,           0.0058019,            0.047702
                   6,            0.036428,           0.0098273,           0.0038712,             0.48685,             0.59177,             0.52086,             0.20464,            0.029958,           0.0077483,           0.0024347,           0.0067665,           0.0067665,            0.038966
                   7,            0.034447,           0.0095832,           0.0033017,             0.52494,             0.56486,             0.50654,              0.2223,            0.038214,           0.0074283,           0.0040482,           0.0077289,           0.0077289,            0.030229
                   8,            0.032825,           0.0093808,           0.0032675,              0.5431,             0.43337,             0.45747,             0.17928,            0.030777,           0.0076997,           0.0038374,           0.0086891,           0.0086891,            0.021489
                   9,            0.031631,           0.0092526,           0.0029104,              0.4922,             0.42258,             0.41774,             0.14967,            0.032671,           0.0082134,           0.0028693,           0.0096465,           0.0096465,            0.012746
                  10,             0.03014,           0.0091186,           0.0029637,             0.39312,             0.43191,             0.35084,             0.13829,            0.037005,           0.0074165,           0.0029626,           0.0099446,           0.0099446,           0.0099446
                  11,            0.028425,           0.0089091,           0.0022721,              0.6416,             0.54398,              0.6116,              0.3002,            0.027507,           0.0068639,           0.0015611,           0.0099446,           0.0099446,           0.0099446
                  12,            0.027719,           0.0087163,           0.0025862,             0.66849,             0.47529,             0.52869,               0.207,            0.034103,           0.0070557,             0.01662,            0.009933,            0.009933,            0.009933
                  13,            0.026884,           0.0086263,           0.0021266,               0.613,             0.56692,             0.59683,             0.28722,            0.024383,           0.0064881,           0.0047908,           0.0099203,           0.0099203,           0.0099203
                  14,            0.025922,           0.0083244,            0.001666,              0.6891,             0.66312,             0.73483,             0.36629,            0.024282,           0.0059945,           0.0013847,           0.0099065,           0.0099065,           0.0099065
                  15,            0.024606,           0.0082418,           0.0018759,             0.78154,             0.64315,             0.77562,              0.3921,            0.024457,           0.0062839,           0.0034275,           0.0098916,           0.0098916,           0.0098916
                  16,            0.023659,           0.0077605,           0.0015743,             0.78121,             0.74841,             0.81584,             0.44472,            0.022308,           0.0058636,          0.00075779,           0.0098757,           0.0098757,           0.0098757
                  17,            0.023332,           0.0079242,           0.0017701,             0.76341,             0.74985,             0.82135,             0.40907,             0.02333,           0.0061601,           0.0012315,           0.0098586,           0.0098586,           0.0098586
                  18,            0.022686,           0.0076356,           0.0013119,             0.82232,             0.75075,             0.86239,             0.48919,            0.021515,           0.0055792,          0.00065787,           0.0098405,           0.0098405,           0.0098405
                  19,            0.022543,           0.0073822,           0.0013544,             0.79537,             0.75579,             0.86313,             0.48719,            0.019871,           0.0053337,           0.0010798,           0.0098213,           0.0098213,           0.0098213
                  20,            0.021827,           0.0070919,           0.0012463,             0.80301,             0.76496,              0.8671,             0.50426,            0.020823,           0.0054807,          0.00059845,           0.0098011,           0.0098011,           0.0098011
                  21,            0.021765,           0.0071863,           0.0010657,             0.81823,             0.73902,              0.8566,             0.49967,            0.021012,           0.0052808,           0.0010846,           0.0097798,           0.0097798,           0.0097798
                  22,            0.021082,           0.0069066,           0.0011445,             0.79853,             0.76829,             0.88456,             0.54034,            0.018897,           0.0051422,          0.00048883,           0.0097574,           0.0097574,           0.0097574
                  23,            0.020519,           0.0068726,           0.0011307,             0.85904,             0.79851,              0.8919,             0.53717,            0.021777,           0.0051223,          0.00051264,            0.009734,            0.009734,            0.009734
                  24,            0.020945,           0.0068154,            0.001064,             0.82216,             0.81044,             0.90972,             0.57304,            0.018857,           0.0049011,          0.00052403,           0.0097095,           0.0097095,           0.0097095
                  25,            0.020114,           0.0065412,          0.00088283,             0.77792,             0.92045,             0.90932,             0.55505,            0.018018,           0.0049434,          0.00045301,            0.009684,            0.009684,            0.009684
                  26,            0.020298,           0.0066401,           0.0010656,             0.76067,             0.88979,             0.89955,             0.56632,            0.018578,           0.0050216,           0.0010421,           0.0096575,           0.0096575,           0.0096575
                  27,            0.020051,           0.0064706,          0.00095672,             0.72292,             0.92108,             0.88537,             0.59267,             0.01978,           0.0048991,          0.00052493,           0.0096299,           0.0096299,           0.0096299
                  28,            0.020128,           0.0063993,          0.00099697,             0.75446,             0.89517,             0.88199,             0.55195,            0.018523,           0.0048381,           0.0004458,           0.0096013,           0.0096013,           0.0096013
                  29,            0.019749,           0.0063919,          0.00092894,             0.81461,             0.87477,             0.91799,             0.59664,            0.017906,           0.0047893,          0.00044772,           0.0095717,           0.0095717,           0.0095717
                  30,            0.019367,           0.0062297,           0.0008484,              0.8527,             0.91519,              0.9354,              0.6102,             0.01842,           0.0046384,          0.00041231,           0.0095411,           0.0095411,           0.0095411
                  31,             0.01949,           0.0061484,          0.00072226,             0.84078,             0.94502,             0.94028,             0.62556,            0.017827,           0.0045764,          0.00037758,           0.0095095,           0.0095095,           0.0095095
                  32,            0.018923,           0.0060848,           0.0009168,             0.75403,             0.91895,              0.9146,             0.59406,            0.019008,           0.0045499,          0.00045006,           0.0094769,           0.0094769,           0.0094769
                  33,            0.018903,           0.0059198,          0.00079966,             0.82213,             0.96181,             0.94511,             0.61131,            0.018209,           0.0043741,          0.00054013,           0.0094434,           0.0094434,           0.0094434
                  34,            0.018727,           0.0058734,          0.00065269,              0.7937,             0.94197,             0.94884,             0.62556,            0.017562,           0.0042774,          0.00035403,           0.0094088,           0.0094088,           0.0094088
                  35,            0.018217,           0.0057794,          0.00055325,             0.85411,              0.8961,             0.93212,             0.59783,            0.017464,           0.0045013,          0.00072871,           0.0093733,           0.0093733,           0.0093733
                  36,            0.018283,           0.0057875,          0.00083007,             0.76577,             0.94099,             0.91476,             0.59831,            0.018229,            0.004536,           0.0015361,           0.0093369,           0.0093369,           0.0093369
                  37,            0.018624,           0.0058781,          0.00082501,             0.82937,             0.84208,             0.89041,             0.54904,            0.017861,           0.0044331,          0.00048176,           0.0092995,           0.0092995,           0.0092995
                  38,            0.018307,           0.0057105,           0.0007875,             0.87686,             0.90581,             0.94938,             0.65302,            0.016774,            0.004116,          0.00029296,           0.0092611,           0.0092611,           0.0092611
                  39,              0.0181,           0.0056488,          0.00069471,             0.83937,             0.87567,             0.89517,             0.60087,            0.017468,            0.004394,          0.00054508,           0.0092219,           0.0092219,           0.0092219
                  40,            0.017857,           0.0055668,          0.00070671,             0.90111,              0.9191,              0.9655,              0.6469,            0.016641,           0.0042894,          0.00029315,           0.0091817,           0.0091817,           0.0091817
                  41,            0.017989,           0.0055081,          0.00073338,             0.85155,             0.90736,             0.93457,             0.62996,            0.016552,           0.0043112,          0.00030555,           0.0091406,           0.0091406,           0.0091406
                  42,             0.01748,           0.0055477,          0.00095708,             0.83698,             0.94136,             0.94001,             0.62816,            0.016928,           0.0041665,          0.00026351,           0.0090986,           0.0090986,           0.0090986
                  43,            0.017867,           0.0054741,          0.00076969,             0.94113,             0.92544,             0.96705,              0.6745,            0.016422,           0.0041345,          0.00031137,           0.0090557,           0.0090557,           0.0090557
                  44,             0.01751,           0.0053272,          0.00069755,             0.89954,             0.93875,             0.95527,             0.65006,            0.016731,           0.0040468,          0.00045837,           0.0090119,           0.0090119,           0.0090119
                  45,            0.017233,           0.0054109,          0.00069574,             0.92047,             0.89775,             0.95414,             0.68385,             0.01663,           0.0038978,          0.00073172,           0.0089673,           0.0089673,           0.0089673
                  46,            0.017361,            0.005368,          0.00071166,             0.92219,             0.91075,             0.96204,             0.66908,            0.016208,            0.004147,          0.00034856,           0.0089218,           0.0089218,           0.0089218
                  47,            0.016858,           0.0052244,          0.00073343,             0.89929,             0.93523,             0.96584,              0.6576,            0.015894,           0.0039484,          0.00031329,           0.0088755,           0.0088755,           0.0088755
                  48,            0.017016,            0.005201,          0.00067667,              0.9233,             0.98359,             0.97245,             0.69714,            0.015873,           0.0039538,          0.00040771,           0.0088283,           0.0088283,           0.0088283
                  49,             0.01697,           0.0051476,          0.00051174,             0.95346,             0.96691,             0.97576,             0.69156,            0.016005,           0.0039509,          0.00028523,           0.0087804,           0.0087804,           0.0087804
                  50,            0.016465,           0.0050691,          0.00054228,             0.96703,             0.91882,             0.97413,             0.70406,            0.015506,           0.0038221,          0.00026724,           0.0087316,           0.0087316,           0.0087316
                  51,            0.016415,           0.0050576,          0.00053801,              0.9283,             0.95639,             0.97229,             0.69297,            0.015298,           0.0037699,          0.00043152,            0.008682,            0.008682,            0.008682
                  52,            0.016528,           0.0050368,          0.00071698,             0.87802,              0.9399,             0.94753,               0.669,            0.016192,           0.0039106,          0.00037189,           0.0086316,           0.0086316,           0.0086316
                  53,            0.016603,           0.0051707,          0.00072286,             0.93516,             0.93497,             0.96503,             0.66739,            0.016398,           0.0038457,          0.00048098,           0.0085805,           0.0085805,           0.0085805
                  54,            0.016749,           0.0049516,          0.00066166,             0.90547,              0.9662,             0.96617,             0.67504,            0.016221,           0.0039615,          0.00024183,           0.0085286,           0.0085286,           0.0085286
                  55,            0.016499,           0.0050986,          0.00061752,             0.89668,             0.96135,             0.96716,             0.70578,            0.015649,               0.004,          0.00037874,           0.0084759,           0.0084759,           0.0084759
                  56,            0.016168,           0.0047222,          0.00047648,             0.90509,             0.94283,              0.9647,             0.69648,            0.015208,           0.0037244,          0.00069659,           0.0084225,           0.0084225,           0.0084225
                  57,             0.01576,            0.004862,          0.00043558,             0.90062,             0.96703,             0.97022,             0.69844,            0.014622,           0.0037268,          0.00025839,           0.0083684,           0.0083684,           0.0083684
                  58,            0.015591,           0.0047306,           0.0004869,             0.88972,             0.96899,             0.97146,             0.69435,            0.014554,           0.0037999,          0.00037176,           0.0083136,           0.0083136,           0.0083136
                  59,            0.015974,           0.0048449,           0.0004267,             0.93553,              0.9206,             0.96734,             0.71195,             0.01463,           0.0037635,          0.00072083,           0.0082581,           0.0082581,           0.0082581
                  60,            0.015649,           0.0048493,          0.00060583,               0.883,             0.97811,             0.96902,             0.68123,            0.015341,           0.0037968,           0.0014546,           0.0082019,           0.0082019,           0.0082019
                  61,            0.015863,            0.004705,           0.0004692,             0.97222,             0.93109,             0.97628,             0.71216,            0.014981,           0.0036908,            0.000215,            0.008145,            0.008145,            0.008145
                  62,            0.015274,           0.0048294,          0.00044887,             0.93258,             0.95166,             0.97438,             0.69205,            0.015428,           0.0037461,          0.00023498,           0.0080875,           0.0080875,           0.0080875
                  63,            0.015497,           0.0046633,          0.00043586,             0.95051,             0.95809,             0.98222,             0.71456,            0.015012,           0.0036197,          0.00024498,           0.0080294,           0.0080294,           0.0080294
                  64,            0.014965,           0.0046564,          0.00038055,             0.92969,             0.96915,             0.96731,             0.70762,            0.014929,           0.0037144,          0.00029786,           0.0079706,           0.0079706,           0.0079706
                  65,            0.015158,           0.0045251,           0.0003737,             0.93261,             0.95327,             0.97954,               0.721,            0.014734,           0.0036181,          0.00022883,           0.0079112,           0.0079112,           0.0079112
                  66,            0.015092,           0.0044758,          0.00037351,             0.94971,             0.95776,             0.98429,             0.71041,            0.015036,           0.0037332,          0.00018954,           0.0078512,           0.0078512,           0.0078512
                  67,            0.014902,           0.0043786,          0.00053478,             0.94917,             0.95167,             0.96763,             0.69873,            0.014363,           0.0035762,          0.00031557,           0.0077907,           0.0077907,           0.0077907
                  68,            0.015053,           0.0045949,          0.00037961,             0.90159,             0.97434,             0.97009,             0.72331,            0.014216,           0.0035465,          0.00026802,           0.0077296,           0.0077296,           0.0077296
                  69,             0.01506,           0.0044933,          0.00041661,             0.90383,             0.96851,             0.97025,             0.71476,            0.014236,           0.0035607,          0.00031751,           0.0076679,           0.0076679,           0.0076679
                  70,            0.015022,           0.0045316,          0.00056391,             0.92846,             0.95533,             0.96905,             0.71688,              0.0143,           0.0035673,          0.00039933,           0.0076057,           0.0076057,           0.0076057
                  71,            0.015163,           0.0045759,          0.00044759,             0.95428,             0.93183,             0.97194,             0.72823,             0.01467,           0.0037225,          0.00017749,            0.007543,            0.007543,            0.007543
                  72,            0.014665,            0.004475,          0.00035949,             0.96916,             0.95665,              0.9825,             0.72411,            0.014359,           0.0036721,          0.00023301,           0.0074797,           0.0074797,           0.0074797
                  73,            0.014555,           0.0044901,          0.00043337,             0.90434,             0.95493,             0.97179,             0.72765,            0.013995,           0.0035592,          0.00023472,            0.007416,            0.007416,            0.007416
                  74,            0.014745,           0.0044596,          0.00040066,             0.93496,             0.92908,             0.96481,             0.70907,            0.014218,            0.003617,          0.00036648,           0.0073518,           0.0073518,           0.0073518
                  75,            0.014442,            0.004388,          0.00040727,             0.92955,             0.96849,             0.97469,              0.7193,            0.014223,           0.0035548,          0.00025321,           0.0072872,           0.0072872,           0.0072872
                  76,            0.014332,           0.0044243,          0.00036243,             0.95454,             0.94056,             0.98027,             0.72927,            0.014079,           0.0035669,          0.00026113,           0.0072221,           0.0072221,           0.0072221
                  77,            0.014308,           0.0043121,          0.00038238,             0.95021,             0.95828,             0.97875,             0.72953,             0.01377,           0.0035039,          0.00020846,           0.0071566,           0.0071566,           0.0071566
                  78,            0.014266,           0.0042831,          0.00042044,             0.95088,             0.95268,             0.97825,             0.72973,            0.014385,           0.0035472,          0.00022252,           0.0070906,           0.0070906,           0.0070906
                  79,            0.014396,           0.0043834,          0.00052218,             0.98868,             0.94692,             0.98635,             0.72858,            0.014722,           0.0036568,          0.00021822,           0.0070243,           0.0070243,           0.0070243
                  80,            0.014434,           0.0043441,          0.00038366,             0.94658,             0.97182,             0.97136,             0.70609,             0.01421,           0.0035038,          0.00033569,           0.0069576,           0.0069576,           0.0069576
                  81,            0.014188,           0.0042805,          0.00036632,             0.92126,             0.96526,             0.97801,             0.70223,             0.01436,           0.0035108,          0.00028538,           0.0068906,           0.0068906,           0.0068906
                  82,            0.014241,           0.0042961,          0.00037725,             0.92686,             0.97596,             0.97535,              0.7098,            0.014023,           0.0036111,          0.00026275,           0.0068232,           0.0068232,           0.0068232
                  83,            0.013996,           0.0041839,          0.00039507,             0.94858,             0.96675,             0.97926,             0.70415,            0.013977,           0.0036003,           0.0002329,           0.0067555,           0.0067555,           0.0067555
                  84,            0.013926,           0.0042513,          0.00043695,             0.96221,             0.95621,             0.98284,              0.7359,            0.013405,           0.0034815,          0.00015661,           0.0066874,           0.0066874,           0.0066874
                  85,            0.013802,           0.0041931,          0.00035853,             0.94229,             0.96967,             0.98062,              0.7404,            0.013248,           0.0034406,           0.0001991,           0.0066191,           0.0066191,           0.0066191
                  86,            0.013973,           0.0042101,          0.00042453,             0.94433,             0.94469,              0.9745,             0.74156,            0.013482,           0.0035229,          0.00029502,           0.0065505,           0.0065505,           0.0065505
                  87,            0.013919,           0.0041727,           0.0003927,             0.91392,             0.97613,             0.96687,             0.73522,            0.013656,           0.0034819,          0.00029499,           0.0064816,           0.0064816,           0.0064816
                  88,            0.013707,           0.0041315,          0.00027909,             0.93017,             0.97101,             0.97432,             0.75115,            0.013322,           0.0033366,          0.00020564,           0.0064125,           0.0064125,           0.0064125
                  89,            0.013528,           0.0040731,          0.00033993,             0.96293,             0.96855,             0.98579,             0.76491,            0.013465,           0.0034173,          0.00019163,           0.0063432,           0.0063432,           0.0063432
                  90,            0.013594,           0.0040778,          0.00035968,             0.94708,             0.96019,             0.97754,             0.74023,            0.013387,           0.0033775,          0.00021168,           0.0062737,           0.0062737,           0.0062737
                  91,            0.013607,           0.0041324,          0.00039075,             0.94137,             0.96019,             0.97433,             0.73613,            0.013428,           0.0033684,          0.00048567,            0.006204,            0.006204,            0.006204
                  92,            0.013441,           0.0040677,          0.00035857,             0.93476,             0.96407,             0.98198,              0.7473,             0.01364,           0.0033944,          0.00019255,           0.0061341,           0.0061341,           0.0061341
                  93,            0.013339,           0.0040641,           0.0002991,             0.93189,             0.96822,               0.968,             0.73976,            0.013378,           0.0033871,          0.00020091,            0.006064,            0.006064,            0.006064
                  94,            0.013251,           0.0040832,          0.00026265,             0.94076,             0.97315,             0.98311,             0.74046,            0.013061,           0.0033881,          0.00019192,           0.0059938,           0.0059938,           0.0059938
                  95,            0.013162,           0.0039507,          0.00036184,             0.94425,             0.95897,             0.97792,             0.74832,            0.013174,           0.0034932,          0.00025674,           0.0059235,           0.0059235,           0.0059235
                  96,            0.013053,           0.0039769,          0.00027893,             0.94802,             0.98058,             0.98066,             0.74574,            0.013167,           0.0034336,          0.00016889,           0.0058531,           0.0058531,           0.0058531
                  97,            0.013312,           0.0039515,          0.00033702,             0.92052,              0.9722,             0.96755,             0.72966,            0.013285,           0.0033711,          0.00033544,           0.0057826,           0.0057826,           0.0057826
                  98,            0.013045,           0.0038819,          0.00027016,              0.9311,             0.97474,             0.97674,             0.73495,            0.013144,           0.0034425,          0.00021865,            0.005712,            0.005712,            0.005712
